CAT_ID,ATTR_NAME,ATTR_VALUE,SEQ_NBR
1000235,'BRAND','All-Clad',1
1000235,'BRAND','Emile Henry',2
1000235,'BRAND','Calphalon',3
1000235,'BRAND','Cuisinart',4
1000235,'BRAND','Juliska',5
1000235,'BRAND','Michael Aram',6
1000235,'BRAND','OXO',7
1000235,'BRAND','Nordic Ware',8
1000235,'BRAND','Kaiser',9
1000235,'BRAND','Dansk',10
1000235,'BRAND','Anolon',11
1000235,'BRAND','WMF/USA',12
1000236,'BRAND','Nespresso',1
1000236,'BRAND','Keurig',2
1000236,'BRAND','Cuisinart',3
1000236,'BRAND','Breville',4
1000236,'BRAND','De'Longhi',5
1000236,'BRAND','Krups',6
1000236,'BRAND','iCoffee',7
1000236,'BRAND','Starbucks',8
1000236,'BRAND','Jura',9
1000236,'BRAND','KitchenAid',10
1000236,'BRAND','Bialetti',11
1000236,'BRAND','Nick Munro',12
1000237,'BRAND','All-Clad',1
1000237,'BRAND','Calphalon',2
1000237,'BRAND','Staub',3
1000237,'BRAND','Cuisinart',4
1000237,'BRAND','Scanpan',5
1000237,'BRAND','Fontignac',6
1000237,'BRAND','Anolon',7
1000237,'BRAND','Demeyere',8
1000237,'BRAND','Ballarini',9
1000237,'BRAND','Fissler',10
1000237,'BRAND','Zwilling J.A. Henckels' ,11
1000237,'BRAND','Emile Henry',12
1000238,'BRAND','J.A. Henckels International',1
1000238,'BRAND','Zwilling J.A. Henckels' ,2
1000238,'BRAND','Shun',3
1000238,'BRAND','Schmidt Brothers',4
1000238,'BRAND','Dubost',5
1000238,'BRAND','Global',6
1000238,'BRAND','All-Clad',7
1000238,'BRAND','Wüsthof',8
1000238,'BRAND','Victorinox',9
1000238,'BRAND','Calphalon',10
1000238,'BRAND','Architec',11
1000239,'BRAND','Breville',1
1000239,'BRAND','Cuisinart',2
1000239,'BRAND','De'Longhi',3
1000239,'BRAND','Jura',4
1000239,'BRAND','Keurig',5
1000239,'BRAND','KitchenAid',6
1000239,'BRAND','Omega',7
1000239,'BRAND','Nespresso',8
1000239,'BRAND','Sodastream',9
1000239,'BRAND','Vitamix',10
1000239,'BRAND','Dash',11
1000239,'BRAND','Hurom',12
1000239,'BRAND','Kyocera',12
1000240,'BRAND','All-Clad',1
1000240,'BRAND','Calphalon',2
1000240,'BRAND','Cuisinart',3
1000240,'BRAND','Michael Aram',4
1000240,'BRAND','Nambé' ,5
1000240,'BRAND','OXO',6
1000240,'BRAND','WMF/USA',7
1000240,'BRAND','simplehuman',8
1000240,'BRAND','Joseph Joseph',9
1000240,'BRAND','Zak Designs Inc.' ,10
1000240,'BRAND','Microplane',11
1000240,'BRAND','Bisbell',12
1001539,'BRAND','Michael Aram',1
1001539,'BRAND','Nambé' ,2
1001539,'BRAND','Baccarat',3
1001539,'BRAND','Bernardaud',4
1001539,'BRAND','Waterford',5
1001539,'BRAND','Lalique',6
1001539,'BRAND','kate spade new york',7
1001539,'BRAND','Juliska',8
1001539,'BRAND','Kosta Boda',9
1001539,'BRAND','William Yeoward',10
1001539,'BRAND','Villeroy & Boch',11
1001539,'BRAND','Christofle',12
1000242,'BRAND','Hudson Park',1
1000242,'BRAND','Abyss',2
1000242,'BRAND','FRETTE ',3
1000242,'BRAND','Matouk',4
1000242,'BRAND','Kassatex',5
1000242,'BRAND','Vipp',6
1000242,'BRAND','Waterworks',7
1000242,'BRAND','Kassatex',8
1000242,'BRAND','Lacoste',9
1000242,'BRAND','Ralph Lauren' ,10
1000242,'BRAND','Arlotta',11
1000242,'BRAND','Mike and Ally',12
1000246,'BRAND','Chilewich',1
1000246,'BRAND','Waterford',2
1000246,'BRAND','Kim Seybert',3
1000246,'BRAND','SFERRA',4
1000246,'BRAND','Modern-twist' ,5
1000246,'BRAND','Caspari',6
1000246,'BRAND','Juliska',7
1000246,'BRAND','JR by John Robshaw',8
1000246,'BRAND','Ralph Lauren',9
1000246,'BRAND','Michael Aram',10
